rank,stadium,capacity,city,country,region,tenants,sports,image,location
1,Narendra Modi Stadium,132000,"Ahmedabad, Gujarat",India,South Asia,"India national cricket team, India women's national cricket team, Gujarat Titans, Gujarat cricket team",Cricket,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Narendra_modi_stadium_2023_Final_between_India_and_Australia.jpg/150px-Narendra_modi_stadium_2023_Final_between_India_and_Australia.jpg,"[15.521192, 74.9836032]"
2,Rungrado 1st of May Stadium,114000,Pyongyang,North Korea,East Asia,North Korea national football team,"Football, athletics, mass games",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Views_from_Yanggakdo_International_Hotel_10.JPG/150px-Views_from_Yanggakdo_International_Hotel_10.JPG,"[40.141826346, 127.16969192]"
3,Michigan Stadium,107601,"Ann Arbor, Michigan",United States,North America,Michigan Wolverines football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Michigan_Stadium_-_Michigan_vs._Iowa_11-17-2012.JPG/150px-Michigan_Stadium_-_Michigan_vs._Iowa_11-17-2012.JPG,"[42.265867, -83.7500284]"
4,Beaver Stadium,106572,"State College, Pennsylvania",United States,North America,Penn State Nittany Lions football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Beaver_Stadium_Whiteout_2018_Pregame.jpg/150px-Beaver_Stadium_Whiteout_2018_Pregame.jpg,"[40.8129352, -77.8550683]"
5,Ohio Stadium,102780,"Columbus, Ohio",United States,North America,Ohio State Buckeyes football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Ohio_Stadium_Overhead.jpg/150px-Ohio_Stadium_Overhead.jpg,"[40.0016203, -83.0197163]"
6,Kyle Field,102733,"College Station, Texas",United States,North America,Texas A&M Aggies football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Kyle_Field_Panorama.jpg/150px-Kyle_Field_Panorama.jpg,"[30.6094062, -96.3412489]"
7,Tiger Stadium,102321,"Baton Rouge, Louisiana",United States,North America,LSU Tigers football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Tiger_Stadium_South_End_Zone_-_New.jpg/150px-Tiger_Stadium_South_End_Zone_-_New.jpg,"[30.4116288, -91.1849659]"
8,Neyland Stadium,101915,"Knoxville, Tennessee",United States,North America,Tennessee Volunteers football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Neylandstadium.jpg/150px-Neylandstadium.jpg,"[35.954455, -83.9258079]"
9,Darrell K Royal–Texas Memorial Stadium,100119,"Austin, Texas",United States,North America,Texas Longhorns football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Darrell_K._Royal_Memorial_Stadium_-_panoramio.jpg/150px-Darrell_K._Royal_Memorial_Stadium_-_panoramio.jpg,"[30.283601, -97.7326077]"
10,Bryant–Denny Stadium,100077,"Tuscaloosa, Alabama",United States,North America,Alabama Crimson Tide football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Bryant-Denny_Stadium_panoramic_2010-10-02.jpg/150px-Bryant-Denny_Stadium_panoramic_2010-10-02.jpg,"[33.2076834, -87.5505632]"
11,Melbourne Cricket Ground,100024,"Melbourne, Victoria",Australia,Oceania,"Australia national cricket team, Victoria cricket team, Melbourne Cricket Club, Melbourne Stars, Melbourne Football Club, Richmond Football Club, Collingwood Football Club, Hawthorn Football Club","Cricket, Australian rules football",https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/2017_AFL_Grand_Final_panorama_during_national_anthem.jpg/150px-2017_AFL_Grand_Final_panorama_during_national_anthem.jpg,"[-37.8192512, 144.9860777]"
12,Camp Nou,99354,Barcelona,Spain,Europe,FC Barcelona,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Camp_Nou_Panoramic_Interior_View.jpg/150px-Camp_Nou_Panoramic_Interior_View.jpg,"[41.37938, 2.12461]"
13,FNB Stadium,94736,Johannesburg,South Africa,Africa,"South Africa national soccer team, Kaizer Chiefs F.C.",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/FIFA_World_Cup_2010_Uruguay_Ghana.jpg/150px-FIFA_World_Cup_2010_Uruguay_Ghana.jpg,"[-26.2348, 27.9827]"
14,Misr Stadium,93940,New Administrative Capital,Egypt,Africa,Egypt national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/The_New_administrative_stadium_of_Egypt.jpg/150px-The_New_administrative_stadium_of_Egypt.jpg,"[30.3153908, 32.3000239]"
15,Sanford Stadium,92746,"Athens, Georgia",United States,North America,Georgia Bulldogs football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/SanfordNorthStandsPanorama.jpg/150px-SanfordNorthStandsPanorama.jpg,"[33.9502131, -83.3735418]"
